Subject,Difficulty,Question,OptionA,OptionB,OptionC,OptionD,Answer,Hint,Reference,Topic
Non-Verbal Reasoning,easy,Which shape has the MOST sides: triangle / square / pentagon / hexagon?,Triangle,Square,Pentagon,Hexagon,Hexagon,Count the sides of each shape carefully: tri=3 / quad=4 / pent=5 / hex=6.,POLYGON SIDES: Triangle=3 / Square=4 / Pentagon=5 / Hexagon=6 / Heptagon=7 / Octagon=8. The prefix tells you the number: tri=3 quad=4 pent=5 hex=6 hept=7 oct=8.,Shape Properties
Non-Verbal Reasoning,easy,"A square is rotated 90° clockwise. How does it look?",Wider rectangle,Same square,Taller rectangle,Diamond,Same square,A square has equal sides and equal angles. What happens when you rotate it?,ROTATION: A SQUARE looks identical after 90° rotation because all four sides are equal and all angles are 90°. Shapes with rotational symmetry look the same at certain angles.,Rotation
Non-Verbal Reasoning,easy,How many lines of symmetry does a rectangle have?,1,2,3,4,2,A line of symmetry folds the shape so both halves match perfectly. Try folding horizontally and vertically.,LINES OF SYMMETRY: Rectangle has 2 (horizontal and vertical midlines — NOT the diagonals). Square has 4. Circle has infinite. Equilateral triangle has 3. Isosceles triangle has 1.,Symmetry
Non-Verbal Reasoning,easy,"A sequence: small circle, medium circle, large circle, ___. What comes next?",Small circle,Medium circle,Extra large circle,Square,Extra large circle,The circles are getting bigger with each step. What is the pattern?,SIZE SEQUENCES: Each term is larger than the previous by one size step. Small→Medium→Large→Extra Large. Identify whether the pattern is size / number / rotation / shading.,Sequences
Non-Verbal Reasoning,easy,Which is the ODD ONE OUT: shapes where all sides are equal? Triangle(equal sides) Square Pentagon(equal sides) Rectangle,Triangle,Square,Pentagon,Rectangle,Rectangle,Three shapes can have all equal sides. Which one NEVER can?,REGULAR POLYGONS have all sides equal and all angles equal. Triangle(equilateral) Square Pentagon(regular) can all have equal sides. A RECTANGLE has two pairs of equal sides — but adjacent sides differ.,Odd One Out
Non-Verbal Reasoning,easy,How many faces does a CUBE have?,4,6,8,12,6,Think of a dice — how many different numbered faces does it have?,3D SHAPES — CUBE: 6 faces (all squares) / 12 edges / 8 vertices. Cuboid: 6 faces. Tetrahedron: 4 faces. Sphere: 1 curved face. Count: top bottom front back left right = 6.,3D Shapes
Non-Verbal Reasoning,easy,"A shape is reflected in a VERTICAL mirror line. What happens to: top-left corner?",Moves to bottom-left,Moves to top-right,Moves to bottom-right,Stays the same,Moves to top-right,A vertical mirror line flips left and right. Top stays top. Left becomes right.,REFLECTION in vertical line: Left↔Right flip. Top/bottom stays the same. A top-LEFT point becomes top-RIGHT. Check each corner individually when solving reflection problems.,Reflection
Non-Verbal Reasoning,easy,A shape has 4 equal sides and 4 right angles. What is it?,Rectangle,Rhombus,Square,Parallelogram,Square,A shape with 4 equal sides AND 4 right angles has a specific name — not just a rectangle.,QUADRILATERALS: Square = 4 equal sides + 4 right angles. Rectangle = 2 pairs equal sides + 4 right angles. Rhombus = 4 equal sides but NO right angles. Parallelogram = 2 pairs equal sides + no right angles.,Shape Properties
Non-Verbal Reasoning,easy,"Count the triangles in a shape divided into 4 equal triangles by its diagonals — how many triangles total?",4,6,8,5,8,Count the 4 small triangles AND the larger triangles formed by combining them.,COUNTING SHAPES: Small triangles=4. Pairs making medium triangles: top+left / top+right / bottom+left / bottom+right = 4 medium. All four together=? That's only one large shape. Total: 4+4=8 triangles.,Counting Shapes
Non-Verbal Reasoning,easy,"An arrow points NORTH. It rotates 180°. Which direction does it now point?",North,East,South,West,South,180° is half a full turn. North is at the top — what is directly opposite?,ROTATION: 90° clockwise = quarter turn. 180° = half turn (North→South / East→West). 270° clockwise = three-quarter turn. 360° = full turn back to start.,Rotation
Non-Verbal Reasoning,easy,Which NET folds to make a CUBE?,A cross shape with 6 squares,A strip of 6 squares,An L-shape with 5 squares,A T-shape with 5 squares,A cross shape with 6 squares,A cube has 6 faces. Which arrangement of 6 squares can fold up so no faces overlap?,NETS OF CUBES: A valid net must have exactly 6 squares that fold without overlap. The cross/T/L patterns with 6 squares — test by folding mentally. Cross-shaped nets fold into cubes correctly.,Nets
Non-Verbal Reasoning,easy,How many lines of symmetry does an EQUILATERAL TRIANGLE have?,1,2,3,6,3,An equilateral triangle has 3 equal sides. Each side has something special from the opposite vertex.,LINES OF SYMMETRY: Equilateral triangle has 3 lines (from each vertex to midpoint of opposite side). Regular shapes: sides = lines of symmetry. Square=4 Pentagon=5 Hexagon=6.,Symmetry
Non-Verbal Reasoning,easy,"A sequence shows: 1 dot, 3 dots, 6 dots, 10 dots, ___?",12,14,15,16,15,Find the differences: 1→3(+2) 3→6(+3) 6→10(+4). What is the next difference?,TRIANGULAR NUMBERS: 1 3 6 10 15 21 — differences increase by 1 each time (+2 +3 +4 +5 +6). These are called triangular numbers — they can be arranged in triangular patterns.,Number Sequences
Non-Verbal Reasoning,easy,"Which shape has rotational symmetry of ORDER 4?",Isosceles Triangle,Rectangle,Square,Equilateral Triangle,Square,Order 4 means the shape looks the same 4 times in one full 360° rotation.,ROTATIONAL SYMMETRY ORDER: Square=4 (looks same at 0° 90° 180° 270°). Rectangle=2. Equilateral triangle=3. Regular pentagon=5. Order = number of times it fits in 360°.,Symmetry
Non-Verbal Reasoning,easy,In a mirror image (horizontal flip) of the letter 'd' — what do you get?,b,p,q,d,b,Imagine holding the letter 'd' up to a vertical mirror. The bump switches sides.,LETTER REFLECTIONS in vertical mirror: d↔b (bump switches left/right). p↔q (bump switches left/right). Note: p is below the line. Useful for checking reflection accuracy.,Reflection
Non-Verbal Reasoning,medium,"In a 3×3 grid pattern each row contains one circle one square and one triangle. Row 1: circle square ___. Row 2: triangle circle ___. What is missing in row 1?",Circle,Square,Triangle,Diamond,Triangle,Each shape appears once per row. Row 1 already has circle and square — what is missing?,LATIN SQUARE PATTERNS: Each symbol appears once per row and once per column. Row 1 has circle and square → missing triangle. Also check columns for consistency.,Matrix Patterns
Non-Verbal Reasoning,medium,"An arrow points NE (45°). It rotates 90° clockwise. Where does it point?",N,SE,NW,E,SE,90° clockwise from NE means turn right by a quarter. NE → SE.,COMPASS ROTATION: NE + 90° clockwise = SE. Each 45° clockwise: N→NE→E→SE→S→SW→W→NW→N. 90° = 2 steps clockwise on this compass rose.,Rotation
Non-Verbal Reasoning,medium,"A shape is translated (slid) 3 squares RIGHT and 2 squares DOWN. A vertex was at (1,4). Where is it now?",( 4,2),(4,6),(−2,4),(3,2),(4,2),Translation adds to coordinates: move right = add to x / move down = subtract from y.,TRANSLATION: Right=+x / Left=−x / Up=+y / Down=−y. (1,4) move 3 right and 2 down: x=1+3=4 / y=4−2=2 → new point (4,2). The shape does not rotate or change size.,Translation
Non-Verbal Reasoning,medium,"Sequence rule: each shape gains one more side. Triangle (3) → square (4) → pentagon (5) → ___?",Pentagon,Hexagon,Heptagon,Octagon,Hexagon,Count: each step adds one more side. What comes after pentagon (5 sides)?,POLYGON SEQUENCE: Triangle(3) Square(4) Pentagon(5) Hexagon(6) Heptagon(7) Octagon(8). The sequence adds 1 side per step. Next after pentagon = hexagon (6 sides).,Shape Sequences
Non-Verbal Reasoning,medium,"In a 2×2 matrix: top row is (large dark circle / small light circle). Bottom row is (large dark square / ___)?",Large light square,Small dark square,Small light square,Large dark square,Small light square,Find TWO rules: one for size (large→small) and one for shading (dark→light). Apply both to the square.,MATRIX RULES — identify what changes across rows AND down columns: Size: large→small. Shading: dark→light. Bottom-left is large dark square. Bottom-right must be small light square.,Matrix Patterns
Non-Verbal Reasoning,medium,"A clock face shows 3:00. Reflected in a vertical mirror what time does it show?",9:00,6:00,3:00,12:00,9:00,A vertical mirror flips left and right. The 3 (on the right) moves to where 9 is (on the left).,REFLECTION of CLOCK: Vertical mirror flips 3↔9 / 2↔10 / 1↔11. The 12 and 6 stay in position. 3:00 reflected = 9:00. This is a classic non-verbal reasoning trick question.,Reflection
Non-Verbal Reasoning,medium,"Fold a square piece of paper in half (left to right). Then fold in half again (top to bottom). Punch a hole in the centre. How many holes when unfolded?",1,2,3,4,4,Each fold DOUBLES the number of layers. One hole through the folded layers creates multiple holes when unfolded.,PAPER FOLDING: Fold 1 (left/right): 2 layers. Fold 2 (top/bottom): 4 layers. One hole through 4 layers = 4 holes when unfolded. The holes appear in a 2×2 symmetric pattern.,Paper Folding
Non-Verbal Reasoning,medium,"Each term in a pattern has one more dot than a ring around it. Term 1: 1 dot. Term 2: 1 dot + ring of 8 = 9. Term 3: 9 + ring of 16 = 25. Term 4 = ___?",36,41,49,45,49,The rings add 8 more dots each time: 8 / 16 / 24... What is term 4?,PATTERN SEQUENCES with rings: 1 / 1+8=9 / 9+16=25 / 25+24=49. Note: differences are 8 16 24 (multiples of 8). These are SQUARE NUMBERS: 1²=1 / 3²=9 / 5²=25 / 7²=49.,Spatial Patterns
Non-Verbal Reasoning,medium,"In a 3D view from the top a L-shaped block is seen. From the FRONT the same block looks like a rectangle. What is the true 3D shape?",Sphere,Cube,L-shaped prism,Pyramid,L-shaped prism,The top view shows an L. The front view shows a rectangle. Which 3D shape gives both views?,3D VISUALISATION: Top view=L shape / Front view=rectangle. An L-shaped prism (like a staircase) viewed from the top gives an L and from the front gives a rectangle. Plan/elevation drawings.,3D Visualisation
Non-Verbal Reasoning,medium,"Pattern: the number of sides DOUBLES each term. Term 1 = 3 sides. Term 2 = 6 sides. Term 3 = 12 sides. What shape could term 3 be?",Triangle,Hexagon,Decagon,Dodecagon,Dodecagon,Count the sides: 3 → 6 → 12. A 12-sided polygon has a specific name.,DOUBLING SEQUENCES: 3→6→12 (×2 each time). 12-sided polygon = DODECAGON. 10 sides=Decagon. 8=Octagon. 6=Hexagon. The prefix tells you: dodeca=12 deca=10 octa=8.,Shape Sequences
Non-Verbal Reasoning,hard,"In a matrix the rule is: shapes rotate 90° clockwise across each row AND size increases left to right. Top row: small circle / medium circle facing right / ___?",Large rotated circle,Large circle,Small square,Medium square,Large circle,Apply BOTH rules simultaneously: rotation (90° clockwise each step) and size increase.,COMPOUND MATRIX RULES: Apply EACH rule independently then combine. Rule 1: rotate 90° clockwise (circle stays circle as rotation is invisible). Rule 2: small→medium→large. Result: LARGE circle.,Matrix Patterns
Non-Verbal Reasoning,hard,"A complex sequence has TWO alternating rules: odd terms ×2 / even terms +3. Sequence: 2, 5, 10, 13, 26, ___",29,52,28,31,29,The even-numbered terms use +3. Term 6 is an even term — what is term 5 + 3?,ALTERNATING RULES: term1=2(×2)=4? No — sequence is 2 5 10 13 26. Pattern: 2→5(+3) 5→10(×2) 10→13(+3) 13→26(×2) 26→29(+3). Alternates: +3 then ×2.,Number Sequences
Non-Verbal Reasoning,hard,"Paper folded in thirds (like a letter). A circular hole is punched in the centre of the folded strip. How many holes when unfolded?",1,2,3,4,3,Folding in thirds creates 3 layers. One punch through 3 layers = how many holes?,PAPER FOLDING in thirds: 3 layers of paper stacked. One hole punched = 3 holes when unfolded. The holes are evenly spaced along the thirds. This differs from folding in half (2 holes).,Paper Folding
Non-Verbal Reasoning,hard,"A cube has faces painted: top=red / bottom=blue / front=green / back=yellow / left=white / right=orange. Rotated 90° RIGHT (right face becomes front). What colour is now on front?",Green,Orange,White,Yellow,Orange,When you tip a cube to the RIGHT — the right face rotates to become the front face.,CUBE ROTATION: Rotating 90° to the right: Right→Front / Front→Left / Left→Back / Back→Right. Top and bottom stay unchanged. Right face was orange → after rotation it faces you = orange.,3D Rotation
Non-Verbal Reasoning,hard,"A sequence of grids: 1×1 (1 cell) / 2×2 (4 cells) / 3×3 (9 cells). Each grid has a diagonal line of shaded cells. How many UNSHADED cells in a 5×5 grid?",20,21,22,25,20,Find the pattern: shaded cells = n (the diagonal). Unshaded = n² − n. For n=5: 25 − 5 = 20.,GRID PATTERNS: n×n grid has n² cells. Shaded diagonal = n cells. Unshaded = n²−n = n(n−1). For 5×5: 25−5=20. Pattern: 0 2 6 12 20 (differences: 2 4 6 8 — increasing by 2).,Spatial Patterns
Non-Verbal Reasoning,hard,"A 3D shape has 5 faces 8 edges and 5 vertices. Using Euler's formula (F+V−E=2) verify and name the shape.",Cube,Triangular prism,Square-based pyramid,Tetrahedron,Square-based pyramid,Check F+V−E: 5+5−8=2 ✓. Now identify the shape: 5 faces (1 square base + 4 triangular faces).,EULER'S FORMULA: F+V−E=2 for all convex polyhedra. Square pyramid: F=5(1 square+4 triangles) / V=5(4 base corners+1 apex) / E=8(4 base+4 slant edges). 5+5−8=2 ✓,3D Shapes
Non-Verbal Reasoning,hard,"In a complex pattern each row obeys: (first shape) + (second shape) = (third shape) where + means overlay and remove duplicates. Row 1: {circle triangle} + {circle square} = {triangle square}. Row 2: {circle pentagon} + {triangle pentagon} = ___?",{circle triangle},{triangle circle pentagon},{circle triangle},{circle square},{{circle triangle}},Apply the same rule: combine both sets and remove any shape that appears in BOTH sets.,SET OPERATIONS: The rule is SYMMETRIC DIFFERENCE (XOR): shapes in either set but NOT in both. Row 2: {circle pentagon} + {triangle pentagon} — pentagon appears in BOTH → remove it. Result: {circle triangle}.,Logic Patterns
Non-Verbal Reasoning,hard,"A hexagonal tile pattern: each hexagon is surrounded by 6 neighbours. How many hexagons in the first 3 rings (including the centre)?",7,19,37,12,19,Centre=1. Ring 1 surrounds centre = 6 hexagons. Ring 2 = ? (each ring adds more),HEXAGONAL PACKING: Centre=1. Ring 1=6. Ring 2=12. Ring 3=18. Total after 2 rings=1+6+12=19. Formula: 1+6+12+18...= 1 + 6(1+2+3...) Pattern: each ring n has 6n hexagons.,Spatial Patterns
